Year,Month,DAY,TIME,STATE,YEAR,MONTH,EVENT_TYPE,SOURCE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
2014,10,14,1900-01-01 07:11:00,SOUTH CAROLINA,2014,October,Tornado,NWS Storm Survey,EF0,0.89,100.0
2014,10,14,1900-01-01 19:00:00,SOUTH CAROLINA,2014,October,Tornado,NWS Storm Survey,EF0,1.0,50.0
2014,5,16,1900-01-01 02:31:00,VIRGINIA,2014,May,Tornado,NWS Storm Survey,EF0,0.4,75.0
2014,9,4,1900-01-01 02:26:00,NORTH DAKOTA,2014,September,Tornado,Public,EF0,1.05,30.0
2014,9,8,1900-01-01 15:45:00,NORTH CAROLINA,2014,September,Tornado,NWS Storm Survey,EF2,0.15,100.0
2014,9,9,1900-01-01 18:35:00,MISSOURI,2014,September,Tornado,NWS Employee,EF0,0.08,25.0
2014,8,31,1900-01-01 19:10:00,MASSACHUSETTS,2014,August,Tornado,NWS Storm Survey,EF0,2.06,176.0
2014,7,31,1900-01-01 16:10:00,MONTANA,2014,July,Tornado,Public,EF0,0.1,5.0
2014,9,9,1900-01-01 18:40:00,MISSOURI,2014,September,Tornado,Emergency Manager,EF0,0.11,25.0
2014,9,7,1900-01-01 13:27:00,SOUTH CAROLINA,2014,September,Tornado,NWS Storm Survey,EF0,0.43,30.0
2014,10,13,1900-01-01 04:43:00,ARKANSAS,2014,October,Tornado,NWS Storm Survey,EF0,0.09,50.0
2014,10,13,1900-01-01 15:43:00,ALABAMA,2014,October,Tornado,NWS Storm Survey,EF0,6.01,50.0
2014,9,9,1900-01-01 21:22:00,MISSOURI,2014,September,Tornado,Emergency Manager,EF0,0.75,25.0
2014,9,1,1900-01-01 18:41:00,OKLAHOMA,2014,September,Tornado,Emergency Manager,EF0,0.2,50.0
2014,10,13,1900-01-01 17:48:00,ALABAMA,2014,October,Tornado,NWS Storm Survey,EF0,1.08,150.0
2014,6,29,1900-01-01 05:05:00,KANSAS,2014,June,Tornado,Emergency Manager,EF1,1.0,50.0
2014,9,10,1900-01-01 16:22:00,OHIO,2014,September,Tornado,NWS Storm Survey,EF0,0.47,50.0
2014,9,10,1900-01-01 16:29:00,OHIO,2014,September,Tornado,NWS Storm Survey,EF0,0.96,50.0
2014,9,10,1900-01-01 01:40:00,MISSOURI,2014,September,Tornado,Emergency Manager,EF1,18.27,20.0
2014,6,18,1900-01-01 17:05:00,SOUTH DAKOTA,2014,June,Tornado,NWS Storm Survey,EF1,0.73,40.0
2014,6,18,1900-01-01 17:07:00,SOUTH DAKOTA,2014,June,Tornado,NWS Storm Survey,EF0,2.0,400.0
2014,9,20,1900-01-01 16:00:00,NEVADA,2014,September,Tornado,Trained Spotter,EF0,0.4,20.0
2014,9,4,1900-01-01 03:17:00,NORTH DAKOTA,2014,September,Tornado,Public,EF1,11.64,250.0
2014,9,10,1900-01-01 16:34:00,OHIO,2014,September,Tornado,NWS Storm Survey,EF0,0.1,20.0
2014,7,27,1900-01-01 16:59:00,TENNESSEE,2014,July,Tornado,NWS Storm Survey,EF3,1.81,800.0
2014,4,29,1900-01-01 13:25:00,NORTH CAROLINA,2014,April,Tornado,Trained Spotter,EF0,0.04,25.0
2014,4,29,1900-01-01 18:49:00,NORTH CAROLINA,2014,April,Tornado,State Official,EF0,0.02,25.0
