Year,Month,DAY,TIME,STATE,YEAR,MONTH,EVENT_TYPE,SOURCE,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH
2004,7,24,1900-01-01 14:30:00,NEVADA,2004,July,Tornado,GENERAL PUBLIC,F0,0.1,200
2004,12,29,1900-01-01 12:10:00,CALIFORNIA,2004,December,Tornado,LAW ENFORCEMENT,F0,0.2,3
2004,12,9,1900-01-01 05:38:00,MISSISSIPPI,2004,December,Tornado,NWS STORM SURVEY,F0,0.2,50
2004,12,7,1900-01-01 10:15:00,INDIANA,2004,December,Tornado,NWS STORM SURVEY,F0,1.5,75
2004,2,27,1900-01-01 23:30:00,HAWAII,2004,February,Tornado,NWS STORM SURVEY,F0,5,25
2004,9,17,1900-01-01 16:40:00,VIRGINIA,2004,September,Tornado,NWS STORM SURVEY,F1,1.6,75
2004,9,17,1900-01-01 16:45:00,VIRGINIA,2004,September,Tornado,NWS STORM SURVEY,F1,0.3,75
2004,9,17,1900-01-01 16:46:00,VIRGINIA,2004,September,Tornado,NWS STORM SURVEY,F1,0.3,75
2004,12,29,1900-01-01 00:15:00,CALIFORNIA,2004,December,Tornado,NWS STORM SURVEY,F0,0.5,5
2004,10,9,1900-01-01 03:48:00,LOUISIANA,2004,October,Tornado,EMERGENCY MANAGER,F0,0.1,20
2004,9,17,1900-01-01 16:47:00,VIRGINIA,2004,September,Tornado,NWS STORM SURVEY,F1,1.8,75
2004,1,25,1900-01-01 13:45:00,HAWAII,2004,January,Tornado,NEWSPAPER,F0,1,25
2004,11,27,1900-01-01 07:50:00,LOUISIANA,2004,November,Tornado,EMERGENCY MANAGER,F1,0.5,30
2004,12,9,1900-01-01 05:27:00,MISSISSIPPI,2004,December,Tornado,NWS STORM SURVEY,F0,0.2,50
2004,11,23,1900-01-01 18:00:00,LOUISIANA,2004,November,Tornado,NWS STORM SURVEY,F0,1,25
2004,12,9,1900-01-01 01:25:00,LOUISIANA,2004,December,Tornado,NWS STORM SURVEY,F1,7,50
2004,12,22,1900-01-01 17:45:00,FLORIDA,2004,December,Tornado,EMERGENCY MANAGER,F0,0.1,30
2004,12,6,1900-01-01 14:20:00,TEXAS,2004,December,Tornado,NWS STORM SURVEY,F0,0.5,50
2004,11,2,1900-01-01 09:05:00,LOUISIANA,2004,November,Tornado,EMERGENCY MANAGER,F0,0.1,20
2004,2,7,1900-01-01 16:40:00,HAWAII,2004,February,Tornado,NWS EMPLOYEE(OFF DUTY),F0,1,15
2004,11,24,1900-01-01 06:00:00,MISSISSIPPI,2004,November,Tornado,NWS STORM SURVEY,F2,1.5,50
2004,12,28,1900-01-01 22:40:00,CALIFORNIA,2004,December,Tornado,NWS STORM SURVEY,F0,1,5
2004,11,24,1900-01-01 04:50:00,LOUISIANA,2004,November,Tornado,EMERGENCY MANAGER,F1,4.5,75
2004,11,2,1900-01-01 10:00:00,LOUISIANA,2004,November,Tornado,BROADCAST MEDIA,F0,0.3,25
2004,11,24,1900-01-01 00:30:00,LOUISIANA,2004,November,Tornado,NWS STORM SURVEY,F2,4,50
2004,12,29,1900-01-01 00:15:00,CALIFORNIA,2004,December,Tornado,NWS STORM SURVEY,F0,0.5,5
2004,12,6,1900-01-01 14:43:00,TEXAS,2004,December,Tornado,NWS STORM SURVEY,F1,6,75
2004,11,23,1900-01-01 18:49:00,LOUISIANA,2004,November,Tornado,NWS STORM SURVEY,F2,20,300
2004,11,23,1900-01-01 19:20:00,LOUISIANA,2004,November,Tornado,NWS STORM SURVEY,F0,12,75
